pid,gender_DEMO,race_DEMO,orientation_heterosexual_DEMO,student_international_DEMO,student_1stGen_DEMO,parent_edu_mother_DEMO,parent_edu_father_DEMO,generation_DEMO,disability_DEMO
INS-W_900,1.0,Asian,1,1.0,0.0,0,0,1,0
INS-W_901,2.0,Asian,1,1.0,0.0,1,0,1,0
INS-W_902,2.0,Asian,1,1.0,0.0,1,1,1,0
INS-W_903,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_904,1.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_905,1.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_906,2.0,White,1,0.0,0.0,0,0,0,0
INS-W_907,1.0,Asian,1,1.0,0.0,1,1,1,0
INS-W_908,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_909,2.0,Biracial,1,0.0,0.0,1,0,0,0
INS-W_910,2.0,Asian,0,0.0,0.0,0,0,0,0
INS-W_911,2.0,White,1,0.0,0.0,1,0,0,0
INS-W_912,2.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_913,1.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_914,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_915,1.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_916,1.0,Asian,1,1.0,0.0,0,0,1,0
INS-W_917,1.0,White,0,0.0,0.0,1,1,0,0
INS-W_918,2.0,White,1,0.0,1.0,0,0,0,0
INS-W_919,1.0,Latinx,0,0.0,1.0,0,0,0,0
INS-W_920,1.0,Latinx,0,0.0,0.0,0,0,1,0
INS-W_921,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_922,2.0,Asian,0,0.0,0.0,0,0,0,0
INS-W_923,2.0,Asian,1,0.0,0.0,1,0,0,0
INS-W_924,2.0,Latinx,1,0.0,1.0,0,0,0,0
INS-W_925,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_926,2.0,Asian,1,0.0,0.0,1,0,0,0
INS-W_927,1.0,White,1,0.0,1.0,0,0,0,0
INS-W_928,1.0,White,1,0.0,0.0,0,0,0,0
INS-W_929,2.0,Asian,1,0.0,1.0,0,1,1,0
INS-W_930,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_931,1.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_932,2.0,Asian,1,0.0,0.0,0,1,0,0
INS-W_933,2.0,Biracial,1,0.0,0.0,1,0,1,0
INS-W_934,2.0,White,1,0.0,0.0,1,0,0,0
INS-W_935,1.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_936,1.0,Biracial,1,0.0,0.0,1,1,0,0
INS-W_937,1.0,White,1,0.0,0.0,0,0,0,0
INS-W_938,2.0,Asian,1,0.0,0.0,1,0,0,0
INS-W_939,1.0,White,1,0.0,0.0,0,1,0,0
INS-W_940,2.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_941,1.0,Asian,0,1.0,0.0,0,0,1,0
INS-W_942,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_943,1.0,White,1,0.0,0.0,1,0,0,0
INS-W_944,1.0,Biracial,1,0.0,0.0,0,0,0,0
INS-W_945,2.0,Asian,1,0.0,0.0,1,0,0,0
